,Node,Degree,Closeness,Betweenness
0,0,16,0.48534201954397393,0.012784438571112902
1,1,9,0.41620111731843573,0.004399692066406764
2,2,16,0.473015873015873,0.015318409727101415
3,3,13,0.4501510574018127,0.008726278218411673
4,4,8,0.40053763440860213,0.004668014941914712
5,5,10,0.4331395348837209,0.004973025593583218
6,6,13,0.45565749235474007,0.010317515612958643
7,7,11,0.45426829268292684,0.0050541825702821366
8,8,17,0.476038338658147,0.012188609482237383
9,9,11,0.4421364985163205,0.00651467051790603
10,10,11,0.44744744744744747,0.005171416863143927
11,11,11,0.4318840579710145,0.006540559824613591
12,12,12,0.4421364985163205,0.008332457976776871
13,13,11,0.43440233236151604,0.006957264535755219
14,14,13,0.45288753799392095,0.008769834905629928
15,15,11,0.4421364985163205,0.005212542761854899
16,16,16,0.4775641025641026,0.01316854906657908
17,17,14,0.4613003095975232,0.00828654023195035
18,18,20,0.4790996784565916,0.020147121684843193
19,19,16,0.4745222929936306,0.013115499385672313
20,20,15,0.4570552147239264,0.011568891871750019
21,21,12,0.436950146627566,0.005989247820668985
22,22,14,0.45565749235474007,0.00964543754212817
23,23,12,0.46273291925465837,0.008988764952027885
24,24,17,0.4745222929936306,0.01495330745362026
25,25,11,0.42450142450142453,0.0065792024557427406
26,26,9,0.4209039548022599,0.00384671038529838
27,27,11,0.43823529411764706,0.005092432177124274
28,28,11,0.44345238095238093,0.005750179395883493
29,29,14,0.4613003095975232,0.011785118585002145
30,30,14,0.45987654320987653,0.01116178105121566
31,31,11,0.43567251461988304,0.007841223304689681
32,32,16,0.4745222929936306,0.012218937008405619
33,33,14,0.44879518072289154,0.01279574640766024
34,34,11,0.43823529411764706,0.007147865460223899
35,35,11,0.430635838150289,0.004263394520274616
36,36,16,0.46855345911949686,0.011533725948501664
37,37,9,0.4173669467787115,0.0041476576374231714
38,38,12,0.44879518072289154,0.005413836281372263
39,39,15,0.4670846394984326,0.011047238953597875
40,40,11,0.436950146627566,0.005815457075945629
41,41,10,0.436950146627566,0.006867056671482745
42,42,15,0.46855345911949686,0.013251429242654721
43,43,15,0.44610778443113774,0.015184632195435957
44,44,13,0.46273291925465837,0.0092927680824652
45,45,11,0.436950146627566,0.006217303149776341
46,46,9,0.4209039548022599,0.005171854380475071
47,47,13,0.45426829268292684,0.012115202602675493
48,48,9,0.436950146627566,0.0032565306007235565
49,49,15,0.4584615384615385,0.01034486413688671
50,50,7,0.41853932584269665,0.00214572321240051
51,51,12,0.43823529411764706,0.005744230695813248
52,52,15,0.465625,0.011250489626571852
53,53,17,0.4790996784565916,0.015811429625045427
54,54,5,0.37721518987341773,0.0011411140035608263
55,55,9,0.415041782729805,0.005766657110842843
56,56,9,0.4209039548022599,0.0049048309326058
57,57,14,0.45987654320987653,0.009231657716482343
58,58,16,0.45987654320987653,0.013714020085127412
59,59,18,0.48534201954397393,0.01576122966167913
60,60,10,0.4318840579710145,0.006118237931805703
61,61,14,0.4570552147239264,0.010288898293853004
62,62,7,0.39313984168865435,0.0032131612438662744
63,63,11,0.4421364985163205,0.005695950609063868
64,64,12,0.4421364985163205,0.006677519461466518
65,65,13,0.45987654320987653,0.010583693990040615
66,66,13,0.44610778443113774,0.00690614727365541
67,67,13,0.45151515151515154,0.010331875236166124
68,68,18,0.4790996784565916,0.01797026771848866
